"participant","TD_trial_number","TD_target_position","TD_rt","attention_state","TD_within_triplet_counter"
"5783f7dd25cb7100012884a7",6,8,470.600000143051,"slow","2"
"5783f7dd25cb7100012884a7",7,7,436.500000238419,"fast","1"
"5783f7dd25cb7100012884a7",8,7,316.799999713898,"slow","3"
"5783f7dd25cb7100012884a7",9,6,358.500000238419,"fast","1"
"5783f7dd25cb7100012884a7",10,6,366.099999904633,"fast","2"
"5783f7dd25cb7100012884a7",11,9,338.600000143051,"slow","3"
"5783f7dd25cb7100012884a7",12,8,382.799999952316,"slow","3"
"5783f7dd25cb7100012884a7",13,6,456.699999809265,"fast","3"
"5783f7dd25cb7100012884a7",14,6,462.700000047684,"slow","2"
"5783f7dd25cb7100012884a7",15,5,450.900000095367,"slow","2"
"5783f7dd25cb7100012884a7",16,5,443,"fast","1"
"5783f7dd25cb7100012884a7",17,7,401.299999952316,"slow","1"
"5783f7dd25cb7100012884a7",18,8,360.199999809265,"fast","3"
"5783f7dd25cb7100012884a7",19,6,349.199999809265,"slow","3"
"5783f7dd25cb7100012884a7",20,6,411.700000047684,"slow","1"
"5783f7dd25cb7100012884a7",21,7,425.299999952316,"slow","2"
"5783f7dd25cb7100012884a7",22,4,421,"slow","1"
"5783f7dd25cb7100012884a7",23,8,387.700000047684,"fast","2"
"5783f7dd25cb7100012884a7",24,7,393.000000238419,"fast","3"
"57dd7528a0e8ce00015445fd",1,5,412,"slow","1"
"57dd7528a0e8ce00015445fd",2,5,443,"fast","1"
"57dd7528a0e8ce00015445fd",3,9,438,"fast","3"
"57dd7528a0e8ce00015445fd",4,4,446,"fast","1"
"57dd7528a0e8ce00015445fd",5,8,418,"fast","3"
"57dd7528a0e8ce00015445fd",6,7,464,"slow","1"
"57dd7528a0e8ce00015445fd",7,9,137,"slow","3"
"57dd7528a0e8ce00015445fd",8,6,481,"fast","2"
"57dd7528a0e8ce00015445fd",9,7,445,"fast","2"
"57dd7528a0e8ce00015445fd",10,8,490,"fast","2"
"57dd7528a0e8ce00015445fd",11,6,437,"fast","3"
"57dd7528a0e8ce00015445fd",12,5,367,"fast","2"
"57dd7528a0e8ce00015445fd",13,6,369,"slow","1"
"57dd7528a0e8ce00015445fd",14,8,393,"slow","2"
