within_triplet_counter,attention_state,participant,TD_rt,TD_trial_number,within_stream_position
1,slow,10bb2,433.59999999403954,22.0,7
3,slow,10bb2,455.7000000029802,15.0,6
2,slow,10bb2,511.4999999850989,20.0,7
3,fast,10bb2,423.2000000029802,3.0,6
1,fast,10bb2,431.0,4.0,5
1,slow,10bb2,434.90000000596046,16.0,5
1,fast,10bb2,415.9999999850989,7.0,6
1,fast,10bb2,445.7000000178814,10.0,7
2,fast,10bb2,441.5,8.0,7
3,slow,10bb2,381.59999997913843,18.0,7
2,slow,10bb2,429.1999999880791,23.0,8
1,slow,10bb2,511.5,13.0,4
2,fast,10bb2,427.40000000596046,11.0,8
2,slow,10bb2,428.9999999850989,14.0,5
2,fast,10bb2,435.5,2.0,5
3,fast,10bb2,466.6999999880791,12.0,9
3,slow,10bb2,440.4999999850989,21.0,8
2,fast,10bb2,531.4000000059605,5.0,6
2,slow,10bb2,695.3999999910593,17.0,6
3,fast,10bb2,508.9999999850989,9.0,8
3,fast,98812,355.3999998569488,24.0,9
1,fast,98812,375.09999990463257,19.0,6
1,slow,98812,402.19999980926514,7.0,6
2,fast,98812,378.7999999523163,23.0,8
2,slow,98812,367.39999985694885,2.0,5
2,fast,98812,363.7999999523163,17.0,6
2,slow,98812,392.09999990463257,5.0,6
3,fast,98812,379.09999990463257,21.0,8
3,slow,98812,496.7999999523163,3.0,6
2,fast,98812,400.19999980926514,14.0,5
3,fast,98812,447.50000023841864,15.0,6
3,slow,98812,418.59999990463257,6.0,7
1,slow,98812,417.2000000476837,1.0,4
3,fast,98812,436.30000019073486,18.0,7
2,slow,98812,350.59999990463257,11.0,8
1,fast,98812,380.89999985694885,22.0,7
2,slow,98812,378.59999990463257,8.0,7
1,fast,98812,390.7999997138977,13.0,4
2,fast,98812,378.0,20.0,7
1,fast,98812,350.0,16.0,5
1,slow,98812,454.9000000953674,10.0,7
1,slow,98812,393.09999990463257,4.0,5
3,slow,98812,404.7000000476837,9.0,8
2,fast,055e7,360.59999990463257,11.0,8
3,fast,055e7,467.39999985694885,12.0,9
1,fast,055e7,362.50000023841864,10.0,7
3,fast,055e7,403.5,9.0,8
3,fast,055e7,410.2999999523163,6.0,7
3,slow,055e7,403.5,15.0,6
